CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
THREATS,02/28/2024 03:20:00 PM,24-010359,BATTERY,32X,1410 100TH AV,Oakland,CA,POINT (-122.169052185 37.74274228)
PETTY THEFT,03/18/2024 10:15:00 AM,24-013614,THEFT,17Y,3132 BEAUMONT AV,Oakland,CA,POINT (-122.22906299 37.79932598)
,03/18/2024 07:50:00 PM,24-013727,WILLFUL CRUELTY TO CHILD,24X,3572 HARPER ST,Oakland,CA,POINT (-122.215991999 37.783051006)
BRANDISHING,03/19/2024 07:00:00 AM,24-013928,EXHIBIT FIREARM,20X,1508 27TH AV,Oakland,CA,POINT (-122.230251963 37.781542012)
,03/21/2024 06:53:00 PM,24-014346,BATTERY,04X,2200 MLK JR WY,Oakland,CA,POINT (-122.272616653 37.812789441)
,03/30/2024 05:15:00 AM,24-015844,SC UNEXPLAINED DEATH,05X,1005 21 ST ST,Oakland,CA,POINT (-122.281721962 37.813700986)
,04/04/2024 10:25:00 AM,24-016615,ASSAULT AND BATTERY,09X,210 40TH STREET WY,Oakland,CA,POINT (-122.254925017 37.827225019)
FORCIBLE RAPE,04/08/2024 01:30:00 AM,24-017166,BATTERY,34X,2023 83RD AV,Oakland,CA,POINT (-122.17134202 37.75877098)
,04/09/2024 10:26:00 AM,24-017464,VEHICLE THEFT - AUTO,31Z,300 BLOCK OF GRAMERCY PL,Oakland,CA,POINT (-122.181407762 37.729316746)
STOLEN VEHICLE,04/10/2024 04:23:00 AM,24-017611,VEHICLE THEFT - AUTO,04X,600 WILLIAM ST,Oakland,CA,POINT (-122.272135998 37.809657011)
,04/10/2024 03:47:00 PM,24-017687,VEHICLE THEFT - AUTO,31Y,736 NEVADA ST,Oakland,CA,POINT (-122.182447036 37.738013993)
,04/15/2024 08:30:00 AM,24-018563,VEHICLE THEFT - AUTO,32Y,2263 106TH AV,Oakland,CA,POINT (-122.155793003 37.742073013)
DUI,04/18/2024 07:56:00 PM,24-019220,DUI ALCOHOL/DRUGS,29X,2819 62ND AV,Oakland,CA,POINT (-122.186441013 37.771489009)
BURG - RESIDENTIAL,04/19/2024 02:30:00 PM,24-019386,BURGLARY-FORCIBLE ENTRY,16Y,1500 HAMPEL ST,Oakland,CA,POINT (-122.220505989 37.805634997)
,04/21/2024 11:49:00 AM,24-019620,VEHICLE THEFT - AUTO,19X,1801 EMBARCADERO,Oakland,CA,POINT (-122.244357932 37.784996792)
,04/24/2024 10:00:00 AM,24-020725,VEHICLE THEFT - AUTO,32X,1120 107TH AV,Oakland,CA,POINT (-122.170336024 37.735761985)
,05/05/2024 09:45:00 PM,24-022156,BURGLARY-FORCIBLE ENTRY,09X,4920 BROADWAY,Oakland,CA,POINT (-122.252321012 37.833906989)
,05/06/2024 12:47:00 AM,24-022198,BATTERY,30X,1452 79TH AVE,Oakland,CA,POINT (-122.181269965 37.75741001)
,05/07/2024 11:30:00 AM,24-022557,ATTEMPTED BURGLARY,35X,8662 MACARTHUR BLVD,Oakland,CA,POINT (-122.162066019 37.758245979)
,05/07/2024 09:30:00 PM,24-022796,THEFT,08X,437 OAKLAND AV,Oakland,CA,POINT (-122.254782101 37.818274522)
,05/15/2024 09:44:00 AM,24-024315,THEFT,3X,900 BLK OF ALICE ST,Oakland,CA,POINT (-122.268288868 37.799332396)
PETTY THEFT,05/15/2024 12:00:00 PM,24-024632,THEFT,30X,2031 69TH AV,Oakland,CA,POINT (-122.183596027 37.765309996)
PETTY THEFT,05/14/2024 08:30:00 PM,24-025139,THEFT,35Y,4400 BRIAR CLIFF RD,Oakland,CA,POINT (-122.140288949 37.766646594)
GRAND THEFT,03/05/2024 08:05:00 AM,24-905349,GRAND THEFT,12X,5131 SHATTUCK AV,Oakland,CA,POINT (-122.264509975 37.837456012)
,03/18/2024 10:30:00 PM,24-905540,BURGLARY-AUTO,,23RD,Oakland,CA,POINT (-122.23117685 37.789213144)
,03/22/2024 07:17:00 PM,24-905692,THEFT,,MOUNTAIN,Oakland,CA,POINT (-122.221871447 37.843516129)
,05/19/2024 10:50:00 PM,24-907858,BURGLARY-AUTO,,22ND,Oakland,CA,POINT (-122.240965561 37.781725662)
